"","X1","X2"
"1",-74.155544,39.674989
"2",-74.530976,39.309077
"3",-74.723814,39.103907
"4",-74.052615,40.03536
"5",-74.075984,39.946285
"6",-74.146347,39.688871
"7",-74.136917,39.70492
"8",-74.136917,39.70492
"9",-73.855631,40.57343
"10",-74.077882,39.912018
"11",-74.068309,39.961012
"12",-73.855574,40.573255
"13",-74.068315,39.960625
"14",-74.723728,39.103828
"15",-74.077872,39.91209
"16",-74.136925,39.705227
"17",-75.140445,38.287694
"18",-74.050909,40.034559
"19",-75.077978,38.356108
"20",-74.504009,39.324706
"21",-74.051178,40.033538
"22",-74.050802,40.034798
"23",-74.136869,39.705397
"24",-74.077863,39.912164
"25",-75.07819,38.356299
"26",-75.13996,38.287755
"27",-74.050858,40.035139
"28",-74.205306,39.605322
"29",-74.06847,39.960675
"30",-74.504208,39.324923
"31",-74.453069,39.354371
"32",-73.358838,40.667098
"33",-75.078335,38.356352
"34",-75.140075,38.287837
"35",-74.453149,39.354298
"36",-74.077824,39.912302
"37",-74.145531,39.688555
"38",-74.075845,39.946248
"39",-74.205211,39.605433
"40",-74.453242,39.354256
"41",-74.077802,39.912397
"42",-74.051224,40.033321
"43",-74.145797,39.689106
"44",-74.051588,40.03558
"45",-74.503883,39.324942
"46",-74.453332,39.354214
"47",-74.077785,39.912475
"48",-75.139863,38.287656
"49",-75.077554,38.356007
"50",-74.052009,40.03564
"51",-74.145459,39.688679
"52",-74.453451,39.354154
"53",-74.504095,39.324824
"54",-74.051526,40.035804
"55",-74.264038,40.462745
"56",-74.034966,40.105361
"57",-74.077766,39.912551
"58",-74.068594,39.961006
"59",-74.14537,39.688776
"60",-74.051523,40.036057
"61",-74.453546,39.354115
"62",-74.068639,39.96066
"63",-74.485533,39.333802
"64",-74.077751,39.912634
"65",-73.358569,40.66721
"66",-74.051936,40.035993
"67",-74.145268,39.688865
"68",-74.06876,39.961065
"69",-75.0775,38.356192
"70",-74.453683,39.354043
"71",-74.159555,39.668309
"72",-74.503993,39.325038
"73",-74.205129,39.605548
"74",-74.068843,39.960683
"75",-74.051237,40.032988
"76",-74.051424,40.036272
"77",-74.14515,39.688997
"78",-75.077621,38.356238
"79",-74.068926,39.961067
"80",-74.504103,39.325133
"81",-74.051341,40.03648
"82",-74.141258,39.700371
"83",-75.138905,38.287717
"84",-75.138905,38.287717
"85",-74.069009,39.960699
"86",-74.145129,39.689176
"87",-74.051303,40.036714
"88",-74.1414,39.700437
"89",-74.1414,39.700437
"90",-74.141537,39.700523
"91",-74.14504,39.689292
"92",-74.454179,39.353833
"93",-75.138978,38.287578
"94",-74.051521,40.036798
"95",-74.454294,39.353789
"96",-74.069187,39.96073
"97",-74.051751,40.03656
"98",-74.50431,39.325029
"99",-74.722714,39.103341
"100",-74.051282,40.032693
"101",-74.077746,39.912707
"102",-74.069364,39.960763
"103",-75.139048,38.287507
"104",-75.139048,38.287507
"105",-74.052028,40.036225
"106",-74.127171,39.718766
"107",-74.069551,39.960726
"108",-74.004069,40.577594
"109",-74.034689,40.106954
"110",-73.358931,40.666966
"111",-74.504385,39.325152
"112",-74.722848,39.103466
"113",-74.144641,39.688693
"114",-75.139099,38.287433
"115",-74.069726,39.960755
"116",-74.141939,39.700613
"117",-74.051995,40.036814
"118",-74.205319,39.605628
"119",-74.5042,39.325268
"120",-74.127454,39.718811
"121",-74.144534,39.688929
"122",-74.052253,40.036974
"123",-74.069852,39.960847
"124",-74.127796,39.718933
"125",-74.504481,39.325262
"126",-74.129704,39.71988
"127",-74.05115,40.037118
"128",-74.144314,39.688852
"129",-74.070166,39.960798
"130",-74.077498,39.912956
"131",-74.127663,39.71849
"132",-74.051859,40.037174
"133",-74.123356,39.741247
"134",-74.14171,39.700552
"135",-74.144155,39.688755
"136",-74.070021,39.961082
"137",-74.503116,39.324579
"138",-74.127338,39.718402
"139",-74.205483,39.605449
"140",-74.052266,40.03666
"141",-74.075686,39.94611
"142",-74.129819,39.72027
"143",-74.143836,39.688576
"144",-74.141967,39.700979
"145",-74.129489,39.720152
"146",-74.051371,40.032426
"147",-74.077459,39.913108
"148",-74.141737,39.700905
"149",-74.144381,39.689164
"150",-73.358943,40.66763
"151",-74.051105,40.037463
"152",-74.129157,39.720092
"153",-74.069999,39.961199
"154",-74.141448,39.700808
"155",-74.075526,39.946123
"156",-74.077433,39.913309
"157",-74.128837,39.719983
"158",-74.503296,39.324793
"159",-74.070187,39.961197
"160",-74.051209,40.037755
"161",-74.144314,39.689302
"162",-74.128532,39.719894
"163",-73.358825,40.667734
"164",-74.077613,39.913294
"165",-74.069828,39.96118
"166",-74.122758,39.741097
"167",-74.060147,39.99767
"168",-74.155829,39.675138
"169",-74.211365,39.600456
"170",-74.144212,39.689469
"171",-74.141152,39.70074
"172",-74.069672,39.961143
"173",-74.077791,39.913378
"174",-74.205463,39.605697
"175",-74.503427,39.324936
"176",-74.122782,39.741458
"177",-74.143946,39.689513
"178",-74.128212,39.719806
"179",-74.051476,40.032155
"180",-74.069479,39.961141
"181",-74.050635,40.035365
"182",-74.050941,40.037923
"183",-74.069291,39.961133
"184",-74.205598,39.605761
"185",-74.487464,39.33322
"186",-74.503564,39.325089
"187",-74.050829,40.038225
"188",-73.358684,40.667816
"189",-74.069117,39.9611
"190",-74.051512,40.031875
"191",-74.050474,40.035672
"192",-74.143182,39.689434
"193",-74.07538,39.946214
"194",-74.05078,40.038501
"195",-74.503639,39.325208
"196",-74.143031,39.689577
"197",-74.05074,40.038784
"198",-74.051641,40.031615
"199",-74.050563,40.035956
"200",-74.143329,39.689653
"201",-74.050989,40.039088
"202",-74.058742,40.007873
"203",-74.504149,39.324287
"204",-74.050737,40.039299
"205",-74.143504,39.68973
"206",-74.058833,40.007898
"207",-74.050514,40.036217
"208",-74.142895,39.6904
"209",-74.035943,40.097233
"210",-74.143667,39.689785
"211",-75.139396,38.28737
"212",-74.205621,39.605512
"213",-74.0758,39.930513
"214",-74.143833,39.689878
"215",-74.143994,39.689926
"216",-73.359026,40.667464
"217",-75.139659,38.287473
"218",-74.159018,39.668442
"219",-74.050459,40.036539
"220",-74.074128,39.959962
"221",-74.264059,40.462874
"222",-74.122335,39.741045
"223",-74.068451,39.961792
"224",-74.142812,39.689882
"225",-74.127982,39.718557
"226",-74.159155,39.668517
"227",-74.068534,39.961397
"228",-74.128084,39.720047
"229",-74.142964,39.689979
"230",-74.05846,40.007547
"231",-74.127074,39.719023
"232",-74.035469,40.097249
"233",-74.060249,39.997253
"234",-74.142732,39.699669
"235",-74.502958,39.32465
"236",-74.068357,39.961391
"237",-74.128389,39.720148
"238",-74.142715,39.690019
"239",-74.122412,39.741409
"240",-74.127399,39.71914
"241",-74.128631,39.720243
"242",-74.068178,39.961373
"243",-73.359617,40.667423
"244",-74.035613,40.097233
"245",-74.142466,39.699698
"246",-74.126811,39.719427
"247",-74.142643,39.690136
"248",-74.503044,39.324764
"249",-74.067987,39.961325
"250",-74.205781,39.605569
"251",-74.058299,40.007483
"252",-74.035748,40.097233
"253",-74.710061,39.13417
"254",-74.142554,39.690274
"255",-74.127222,39.719439
"256",-74.067915,39.961689
"257",-74.71023,39.134205
"258",-74.035847,40.097237
"259",-74.142822,39.690221
"260",-74.127487,39.719573
"261",-74.068143,39.961665
"262",-74.50313,39.324926
"263",-74.709589,39.134433
"264",-74.058399,40.007514
"265",-74.128937,39.720301
"266",-74.068325,39.961689
"267",-74.060378,39.996924
"268",-74.50328,39.325065
"269",-74.077386,39.913675
"270",-74.051844,40.031034
"271",-74.232391,39.572502
"272",-74.077174,39.941107
"273",-74.003951,40.577631
"274",-73.933773,40.554863
"275",-74.17081,40.450604
"276",-74.129283,39.720418
"277",-74.143088,39.690153
"278",-74.036045,40.097239
"279",-74.142286,39.698831
"280",-74.709715,39.13432
"281",-74.129559,39.720486
"282",-74.067781,39.961329
"283",-74.205699,39.605816
"284",-74.143233,39.690471
"285",-74.121694,39.741291
"286",-74.129857,39.720598
"287",-74.06763,39.961286
"288",-74.50339,39.325162
"289",-74.036137,40.097243
"290",-74.143506,39.690312
"291",-74.067526,39.961428
"292",-74.050342,40.037022
"293",-74.036246,40.097223
"294",-74.067507,39.961539
"295",-74.503462,39.325307
"296",-74.205965,39.605656
"297",-74.051215,40.04009
"298",-74.144941,39.689408
"299",-74.036362,40.097235
"300",-74.067472,39.96166
"301",-74.127896,39.720429
"302",-73.359551,40.667224
"303",-74.143162,39.69911
"304",-74.058243,40.007647
"305",-74.14489,39.689546
"306",-74.128175,39.720524
"307",-74.067732,39.961683
"308",-74.036488,40.097233
"309",-74.128451,39.72059
"310",-74.159698,39.668385
"311",-74.727896,39.106875
"312",-74.050086,40.037242
"313",-74.033068,40.116099
"314",-74.70941,39.134872
"315",-74.1447,39.689622
"316",-74.12637,39.71954
"317",-74.128735,39.720678
"318",-74.035522,40.097143
"319",-74.051821,40.040217
"320",-74.709338,39.135024
"321",-74.033106,40.116019
"322",-74.727711,39.106859
"323",-75.141813,38.287941
"324",-74.12909,39.72075
"325",-74.144729,39.689779
"326",-73.360225,40.667683
"327",-74.502438,39.324944
"328",-74.071852,39.956543
"329",-74.833576,38.981738
"330",-74.368413,39.40282
"331",-74.033461,40.11608
"332",-74.074358,39.935435
"333",-74.035732,40.097122
"334",-74.050602,40.037372
"335",-74.129701,39.720973
"336",-74.709279,39.135143
"337",-74.068663,39.961642
"338",-74.727606,39.106775
"339",-74.144622,39.689891
"340",-74.122069,39.741336
"341",-74.127091,39.717927
"342",-74.035898,40.097114
"343",-74.033482,40.116216
"344",-74.07533,39.946592
"345",-74.50266,39.324919
"346",-74.727459,39.106738
"347",-74.127384,39.719841
"348",-74.051207,40.04031
"349",-74.077345,39.913864
"350",-74.205826,39.605887
"351",-74.127234,39.717632
"352",-74.036037,40.097122
"353",-74.727322,39.106692
"354",-74.144523,39.689992
"355",-74.077309,39.914062
"356",-74.502819,39.325096
"357",-74.127816,39.718237
"358",-73.360195,40.667598
"359",-74.12777,39.720734
"360",-74.051917,40.030728
"361",-74.03623,40.097118
"362",-74.068867,39.961428
"363",-74.121898,39.740966
"364",-74.128017,39.720779
"365",-74.502918,39.325241
"366",-74.075434,39.946628
"367",-74.144509,39.690151
"368",-74.06906,39.961463
"369",-74.70893,39.135886
"370",-74.727665,39.107188
"371",-74.036389,40.097114
"372",-74.139002,39.699482
"373",-74.033459,40.116344
"374",-74.128282,39.720866
"375",-74.06924,39.961486
"376",-74.832571,38.982114
"377",-74.210961,39.600635
"378",-74.587992,39.270718
"379",-74.206085,39.60571
"380",-74.128639,39.720959
"381",-74.502569,39.325085
"382",-74.145998,39.689403
"383",-74.12137,39.741202
"384",-74.138766,39.699376
"385",-74.727494,39.107158
"386",-74.05202,40.03035
"387",-74.069436,39.961498
"388",-74.12898,39.721027
"389",-74.036528,40.097114
"390",-74.058176,40.007658
"391",-74.502631,39.325177
"392",-74.145612,39.689509
"393",-74.727333,39.107048
"394",-74.139481,39.699141
"395",-74.205942,39.605936
"396",-74.129613,39.72127
"397",-74.06976,39.961504
"398",-75.137505,38.287745
"399",-74.058109,40.007619
"400",-74.129489,39.721673
"401",-74.139297,39.699072
"402",-74.033394,40.116583
"403",-74.121425,39.740794
"404",-74.708957,39.135746
"405",-74.145475,39.689657
"406",-74.727193,39.106992
"407",-74.070125,39.961539
"408",-74.129106,39.721569
"409",-74.139124,39.699035
"410",-74.077209,39.914409
"411",-74.05805,40.007596
"412",-74.035546,40.096956
"413",-73.359654,40.667519
"414",-74.12884,39.721514
"415",-74.709011,39.135601
"416",-74.127395,39.717313
"417",-75.137883,38.286842
"418",-74.727067,39.106869
"419",-74.077196,39.914554
"420",-74.145228,39.690328
"421",-74.070034,39.96195
"422",-74.121061,39.741065
"423",-74.035817,40.096962
"424",-74.128561,39.721477
"425",-74.446857,39.358519
"426",-74.128561,39.721477
"427",-74.709062,39.135461
"428",-74.077205,39.914683
"429",-74.069942,39.961808
"430",-74.145416,39.690149
"431",-74.156083,39.675239
"432",-74.128309,39.721322
"433",-74.508843,39.321981
"434",-74.035978,40.09695
"435",-75.137744,38.286762
"436",-74.051952,40.039839
"437",-74.127625,39.716971
"438",-74.0772,39.914808
"439",-74.128003,39.721252
"440",-74.145333,39.689961
"441",-73.359753,40.667651
"442",-74.120987,39.740647
"443",-74.139473,39.698556
"444",-74.054141,40.147685
"445",-74.024562,40.143885
"446",-74.03611,40.096941
"447",-74.708547,39.136589
"448",-74.049918,40.037772
"449",-74.139446,39.6987
"450",-74.069862,39.96192
"451",-74.145336,39.689789
"452",-74.052096,40.029933
"453",-74.139334,39.698781
"454",-74.057902,40.00754
"455",-74.70859,39.13647
"456",-74.077082,39.915149
"457",-74.024672,40.143537
"458",-74.06969,39.961915
"459",-74.0504,40.037881
"460",-74.075411,39.946775
"461",-74.036257,40.096954
"462",-74.05147,40.039564
"463",-74.127445,39.721409
"464",-75.137578,38.287621
"465",-74.138686,39.698923
"466",-74.077078,39.915345
"467",-74.069521,39.961893
"468",-74.127421,39.72166
"469",-74.057819,40.007524
"470",-74.052191,40.029651
"471",-74.025118,40.144058
"472",-75.137642,38.287492
"473",-74.127815,39.721743
"474",-74.049855,40.03806
"475",-74.077035,39.91552
"476",-74.708678,39.136325
"477",-74.07556,39.946557
"478",-74.591284,39.269247
"479",-74.003769,40.577696
"480",-74.606351,39.254677
"481",-74.527655,39.312926
"482",-74.05971,39.99911
"483",-74.025262,40.144097
"484",-74.036373,40.09695
"485",-74.138752,39.698747
"486",-74.138752,39.698747
"487",-74.06935,39.961724
"488",-74.138752,39.698747
"489",-74.159308,39.668581
"490",-74.051966,40.039622
"491",-74.509083,39.321642
"492",-74.138833,39.698638
"493",-74.052291,40.029336
"494",-74.129472,39.71317
"495",-74.069572,39.961739
"496",-74.036523,40.096954
"497",-74.142242,39.690563
"498",-74.057717,40.007462
"499",-75.137698,38.287351
"500",-74.129421,39.713484
"501",-74.142373,39.690677
"502",-74.069765,39.961765
"503",-74.20609,39.605965
"504",-74.075637,39.946598
"505",-74.076948,39.915959
"506",-74.509171,39.321764
"507",-74.142526,39.690755
"508",-74.025268,40.143757
"509",-75.137774,38.287223
"510",-74.069301,39.961872
"511",-74.035592,40.096812
"512",-74.708732,39.136194
"513",-74.049787,40.038302
"514",-74.076951,39.916164
"515",-74.139118,39.698277
"516",-74.142679,39.690809
"517",-74.509281,39.321874
"518",-74.06917,39.961776
"519",-74.052493,40.029166
"520",-74.139072,39.69839
"521",-74.03575,40.096804
"522",-74.14287,39.690869
"523",-74.069213,39.961607
"524",-75.137841,38.28708
"525",-74.129575,39.72275
"526",-74.206231,39.60579
"527",-74.059829,39.998719
"528",-73.842795,40.576178
"529",-74.138955,39.698506
"530",-74.509386,39.321978
"531",-74.035874,40.096802
"532",-74.025603,40.142487
"533",-74.075767,39.946587
"534",-74.068982,39.961829
"535",-74.143031,39.690939
"536",-74.05831,40.007693
"537",-74.129875,39.722824
"538",-74.139319,39.698014
"539",-74.059816,39.998817
"540",-74.036008,40.096812
"541",-74.068789,39.961788
"542",-73.356901,40.669811
"543",-74.509509,39.322094
"544",-74.129908,39.722411
"545",-74.139289,39.697889
"546",-74.143291,39.690966
"547",-74.05147,40.039273
"548",-74.025603,40.142651
"549",-74.068808,39.961667
"550",-74.129981,39.712215
"551",-74.036134,40.096814
"552",-74.049653,40.038609
"553",-74.722559,39.105187
"554",-74.059896,39.9986
"555",-74.058369,40.007697
"556",-74.051547,40.039049
"557",-75.1379,38.286957
"558",-74.142033,39.690951
"559",-74.075851,39.946589
"560",-74.509601,39.322187
"561",-74.025551,40.142832
"562",-74.142349,39.69103
"563",-74.069022,39.961693
"564",-74.129798,39.712538
"565",-74.722714,39.105231
"566",-75.13828,38.287896
"567",-74.051676,40.0388
"568",-74.130117,39.711859
"569",-74.025535,40.143015
"570",-74.142502,39.691106
"571",-74.051741,40.038494
"572",-75.137806,38.287968
"573",-74.076022,39.946648
"574",-74.722808,39.105325
"575",-74.036273,40.096808
"576",-74.058431,40.007727
"577",-74.051837,40.03824
"578",-74.142658,39.691153
"579",-74.049611,40.038877
"580",-74.059686,39.999269
"581",-74.066149,39.998955
"582",-74.531133,39.308954
"583",-74.142811,39.691238
"584",-74.051918,40.037973
"585",-75.138138,38.288155
"586",-74.139482,39.697751
"587",-74.036394,40.096802
"588",-74.058492,40.007764
"589",-74.025483,40.143065
"590",-74.722955,39.1053
"591",-74.143001,39.691341
"592",-74.051966,40.037679
"593",-74.067494,39.962203
"594",-74.036584,40.096794
"595",-74.051853,40.037453
"596",-74.20635,39.606123
"597",-74.141864,39.691323
"598",-75.137886,38.288052
"599",-74.06748,39.962304
"600",-74.025089,40.14456
"601",-74.035659,40.09671
"602",-74.058562,40.007777
"603",-74.067821,39.962327
"604",-74.076189,39.946665
"605",-74.049504,40.039108
"606",-74.142049,39.691381
"607",-74.035836,40.096699
"608",-74.067676,39.962306
"609",-75.137897,38.28789
"610",-74.142202,39.691438
"611",-74.067716,39.962107
"612",-74.035941,40.096699
"613",-74.059645,39.999505
"614",-74.058624,40.007851
"615",-74.07756,39.93063
"616",-74.051153,40.040433
"617",-74.052612,40.028899
"618",-74.142333,39.691502
"619",-74.059648,39.999395
"620",-74.036043,40.096708
"621",-74.142489,39.691552
"622",-74.159411,39.667775
"623",-74.127912,39.722268
"624",-74.077689,39.930684
"625",-73.644678,40.594789
"626",-74.514721,39.321529
"627",-73.684405,40.589902
"628",-74.077319,39.941136
"629",-74.049418,40.039395
"630",-75.137945,38.287795
"631",-74.05111,40.040609
"632",-74.142768,39.69162
"633",-74.128046,39.721835
"634",-74.206512,39.606173
"635",-74.724388,39.105955
"636",-74.70585,39.135753
"637",-74.078048,39.930704
"638",-74.049874,40.039506
"639",-74.706377,39.135913
"640",-74.051003,40.040977
"641",-74.724278,39.106084
"642",-74.12825,39.722346
"643",-74.036332,40.096695
"644",-75.138026,38.287688
"645",-74.142529,39.691991
"646",-74.058557,40.007573
"647",-74.510909,39.320896
"648",-74.206665,39.605987
"649",-74.050957,40.041213
"650",-74.036429,40.096697
"651",-74.142349,39.691952
"652",-75.13831,38.287153
"653",-74.51235,39.32112
"654",-74.036533,40.096689
"655",-74.724361,39.105629
"656",-74.706404,39.13579
"657",-74.142196,39.691888
"658",-74.034686,40.103617
