"date","start_name","start_lon","start_lat","end_name","end_lon","end_lat"
"2009-09-22 00:00:00","Sixth Av and 50th St, New York, NY",-73.9804421,40.7598896,"Sixth Av and 51st St, New York, NY",-73.9799752,40.7605396
"2009-10-10 00:00:00","Sixth Av and 50th St, New York, NY",-73.9804421,40.7598896,"Sixth Av and 51st St, New York, NY",-73.9799752,40.7605396
"2009-09-10 00:00:00","Bedford Av and N 7th St, Brooklyn, NY",-73.9577271,40.7178424,"Bedford Av and N 6th St, Brooklyn, NY",-73.9583298,40.7172906
"2009-10-03 00:00:00","Bedford Av and N 7th St, Brooklyn, NY",-73.9577271,40.7178424,"Bedford Av and N 6th St, Brooklyn, NY",-73.9583298,40.7172906
"2009-09-12 00:00:00","E 42nd St and Park Av, New York, NY",-73.9778018,40.7521624,"E 42nd St and Lexington Av, New York, NY",-73.9760699,40.7514591
"2009-09-23 00:00:00","E 42nd St and Park Av, New York, NY",-73.9778018,40.7521624,"E 42nd St and Lexington Av, New York, NY",-73.9760699,40.7514591
"2009-09-22 00:00:00","Lexington Av and 50th St, New York, NY",-73.9723706,40.756502,"Lexington Av and 51st St, New York, NY",-73.971932,40.7571166
"2009-09-23 00:00:00","W 47th St and Avenue of the Americas, New York, NY",-73.9818061,40.7580271,"W 47th St and Fifth Av, New York, NY",-73.9785674,40.7566601
"2009-09-26 00:00:00","W 47th St and Avenue of the Americas, New York, NY",-73.9818061,40.7580271,"W 47th St and Fifth Av, New York, NY",-73.9785674,40.7566601
"2009-09-22 00:00:00","Fifth Av and 50th St, New York, NY",-73.9771993,40.7585457,"Fifth Av and 51st St, New York, NY",-73.976748,40.759166
"2009-10-10 00:00:00","Fifth Av and 50th St, New York, NY",-73.9771993,40.7585457,"Fifth Av and 51st St, New York, NY",-73.976748,40.759166
"2009-10-10 00:00:00","Lexington Av and 50th St, New York, NY",-73.9723706,40.756502,"Lexington Av and 51st St, New York, NY",-73.971932,40.7571166
"2009-09-22 00:00:00","Lexington Av and 50th St, New York, NY",-73.9723706,40.756502,"Lexington Av and 51st St, New York, NY",-73.971932,40.7571166
"2009-09-22 00:00:00","Madison Av and 50th Str, New York, NY",-73.9755929,40.7578607,"Madison Av and 51st St, New York, NY",-73.9751335,40.758487
"2009-10-10 00:00:00","Madison Av and 50th St, New York, NY",-73.9755929,40.7578607,"Madison Av and 51st St, New York, NY",-73.9751335,40.758487
"2009-09-12 00:00:00","Fifth Av  and E 54th St , New York, NY",-73.975373,40.7610362,"Fifth Av  and E  55th St , New York, NY",-73.9749136,40.761667
"2009-09-22 00:00:00","Fifth Av and E 54th St, New York, NY",-73.975373,40.7610362,"Fifth Av and E 55th St , New York, NY",-73.9749136,40.761667
"2009-09-23 00:00:00","Third Av and 50th St, New York, NY",-73.9707582,40.7558255,"Third Av and 51st St, New York, NY",-73.9703087,40.7564542
"2009-10-10 00:00:00","Third Av and 50th St, New York, NY",-73.9707582,40.7558255,"Third Av and 51st St, New York, NY",-73.9703087,40.7564542
"2009-09-23 00:00:00","Second Av and 50th St, New York, NY",-73.9685187,40.7548795,"Second Av and 51st St, New York, NY",-73.968065,40.7555055
"2009-10-10 00:00:00","Second Av and 50th St, New York, NY",-73.9685187,40.7548795,"Second Av and 51st St, New York, NY",-73.968065,40.7555055
"2009-09-12 00:00:00","Lexington Av  and E 57th St, New York, NY",-73.9691296,40.7609254,"Lexington Av  and E 58th St, New York, NY",-73.9686328,40.7615968
"2009-09-22 00:00:00","Lexington Av  and E 57th St, New York, NY",-73.9691296,40.7609254,"Lexington Av  and E 58th St, New York, NY",-73.9686328,40.7615968
"2009-09-12 00:00:00","Columbus Av and W 75th St, New York, NY",-73.977369,40.779364,"Columbus Av and W 76th St, New York, NY",-73.976903,40.779997
"2009-09-22 00:00:00","Columbus Av and W 75th St, New York, NY",-73.977369,40.779364,"Columbus Av and W 76th St, New York, NY",-73.976903,40.779997
"2009-09-12 00:00:00","Madison Av  and E 71st St, New York, NY",-73.9659328,40.7710974,"Madison Av  and E 72nd St, New York, NY",-73.9654418,40.771783
"2009-09-23 00:00:00","Madison Av  and E 71st St, New York, NY",-73.9659328,40.7710974,"Madison Av  and E 72nd St, New York, NY",-73.9654418,40.771783
"2009-09-26 00:00:00","Bell Blvd and 40th Av, Queens, NY",-73.7713288,40.7642682,"Bell Blvd and 41st Av, Queens, NY",-73.7709587,40.7635916
"2009-09-10 00:00:00","Pitkin Av and Bristol St, Brooklyn, NY",-73.9126255,40.6694003,"Pitkin Av and Hopkinson Av, Brooklyn, NY",-73.9135787,40.6692495
"2009-10-03 00:00:00","Pitkin Av and Bristol St, Brooklyn, NY",-73.9126255,40.6694003,"Pitkin Av and Hopkinson Av, Brooklyn, NY",-73.9135787,40.6692495
"2009-09-16 00:00:00","Myrtle Av and Palmetto St, Queens, NY",-73.911003,40.699642,"Myrtle Av and Woodbine St (Plaza), Queens, NY",-73.9096327,40.699736
"2009-10-10 00:00:00","Myrtle Av and Palmetto St, Queens, NY",-73.911003,40.699642,"Myrtle Av and Woodbine St (Plaza), Queens, NY",-73.9096327,40.699736
"2009-09-16 00:00:00","Myrtle Av and Weirfield St, Queens, NY",-73.9025138,40.7004707,"Myrtle Av and Centre St, Queens, NY",-73.901405,40.7004847
"2009-10-10 00:00:00","Myrtle Av and Weirfield St, Queens, NY",-73.9025138,40.7004707,"Myrtle Av and Centre St, Queens, NY",-73.901405,40.7004847
"2009-09-16 00:00:00","Jamaica Av and 86th St, Queens, NY",-73.8581469,40.6925755,"Jamaica Av and 87th St, Queens, NY",-73.8573956,40.692623
"2009-09-26 00:00:00","Jamaica Av and 86th St, Queens, NY",-73.8581469,40.6925755,"Jamaica Av and 87th St, Queens, NY",-73.8573956,40.692623
"2009-09-16 00:00:00","Sutphin Blvd and 89th Avenue, Queens, NY",-73.8087891,40.703816,"Sutphin Blvd and 90th Av, Queens, NY",-73.8084494,40.7030224
"2009-10-10 00:00:00","Sutphin Blvd and 89th Av, Queens, NY",-73.8087891,40.703816,"Sutphin Blvd and 90th Av, Queens, NY",-73.8084494,40.7030224
"2009-09-16 00:00:00","Jamaica Av and 148th St, Queens, NY",-73.8063382,40.701788,"Jamaica Av and 149th St, Queens, NY",-73.8055124,40.7018795
"2009-09-26 00:00:00","Jamaica Av and 148th St, Queens, NY",-73.8063382,40.701788,"Jamaica Av and 149th St, Queens, NY",-73.8055124,40.7018795
"2009-09-16 00:00:00","Jamaica Av and 162nd St, Queens, NY",-73.7976996,40.704317,"Jamaica Av and Guy R. Brewer Blvd, Queens, NY",-73.7970106,40.7046058
"2009-09-26 00:00:00","Jamaica Av and 162nd St, Queens, NY",-73.7976996,40.704317,"Jamaica Av and Guy R. Brewer Blvd, Queens, NY",-73.7970106,40.7046058
"2009-09-15 00:00:00","165th St and 89th Av, Queens, NY",-73.796317,40.707723,"165th St and Jamaica Av, Queens, NY",-73.7948936,40.7054598
"2009-10-10 00:00:00","165th St and 89th Av, Queens, NY",-73.796317,40.707723,"165th St and Jamaica Av, Queens, NY",-73.7948936,40.7054598
"2009-09-15 00:00:00","Hillside Av and 169th St, Queens, NY",-73.7930267,40.7106687,"Hillside Av and 170th St, Queens, NY",-73.7920569,40.7111147
"2009-09-26 00:00:00","Hillside Av and 169th St, Queens, NY",-73.7930267,40.7106687,"Hillside Av and 170th St, Queens, NY",-73.7920569,40.7111147
"2009-09-16 00:00:00","Mott Av and Smith Pl, Queens, NY",-73.7521229,40.6038028,"Mott Av and Central Av, Queens, NY",-73.7528694,40.6042229
"2009-10-10 00:00:00","Mott Av and Smith Pl, Queens, NY",-73.7521229,40.6038028,"Mott Av and Central Av, Queens, NY",-73.7528694,40.6042229
"2009-09-15 00:00:00","Jackson Av and Queens St, Queens, NY",-73.9397449,40.7480198,"Jackson Av and 42nd Rd, Queens, NY",-73.9391794,40.748275
"2009-09-26 00:00:00","Jackson Av and Queens St, Queens, NY",-73.9397449,40.7480198,"Jackson Av and 42nd Rd, Queens, NY",-73.9391794,40.748275
"2009-09-16 00:00:00","Steinway St and 31st Av, Queens, NY",-73.9171048,40.7613374,"Steinway St and Broadway, Queens, NY",-73.9190184,40.7589806
"2009-10-10 00:00:00","Steinway St and 31st Av, Queens, NY",-73.9171048,40.7613374,"Steinway St and Broadway, Queens, NY",-73.9190184,40.7589806
"2009-09-30 00:00:00","Wards Island Bridge and MIDPOINT, NA, NY",-74.0059413,40.7127837,"Wards Island Bridge and NA, NA, NY",-74.0059413,40.7127837
"2009-10-10 00:00:00","Wards Island Bridge and MIDPOINT, NA, NY",-74.0059413,40.7127837,"Wards Island Bridge and NA, NA, NY",-74.0059413,40.7127837
"2009-09-10 00:00:00","Third Av and E 150th St, Bronx, NY",-73.9167772,40.81653,"Third Av and E 151st St, Bronx, NY",-73.9159687,40.8172247
"2009-09-26 00:00:00","Third Av and E 150th St, Bronx, NY",-73.9167772,40.81653,"Third Av and E 151st St, Bronx, NY",-73.9159687,40.8172247
"2009-09-12 00:00:00","W 181st St and St. Nicholas Av, New York, NY",-73.933745,40.8493135,"W 181st St and Wadsworth Av, New York, NY",-73.9349493,40.8498755
"2009-09-23 00:00:00","W 181st St and St. Nicholas Av, New York, NY",-73.933745,40.8493135,"W 181st St and Wadsworth Av, New York, NY",-73.9349493,40.8498755
"2009-09-10 00:00:00","Grand Concourse and E 164th St, Bronx, NY",-73.9209898,40.8295692,"Grand Concourse and E 165th St, Bronx, NY",-73.9204863,40.830947
"2009-09-26 00:00:00","Grand Concourse and E 164th St, Bronx, NY",-73.9209898,40.8295692,"Grand Concourse and E 165th St, Bronx, NY",-73.9204863,40.830947
"2009-09-23 00:00:00","University Heights Bridge and MIDPOINT, NA, NY",-74.0059413,40.7127837,"University Heights Bridge and NA, NA, NY",-74.0059413,40.7127837
"2009-10-10 00:00:00","University Heights Bridge and MIDPOINT, NA, NY",-74.0059413,40.7127837,"University Heights Bridge and NA, NA, NY",-74.0059413,40.7127837
