Zipcode,Male,Female
 07757  , 1  , 0  
 07758  , 0  , 1  
 07760  , 6  , 0  
 07762  , 3  , 0  
 07830  , 1  , 0  
 07832  , 1  , 0  
 07840  , 0  , 1  
 07843  , 1  , 0  
 07866  , 2  , 1  
 07869  , 1  , 0  
 07874  , 1  , 0  
 07876  , 1  , 0  
 07901  , 9  , 1  
 07920  , 17  , 1  
 07924  , 1  , 0  
 07927  , 1  , 0  
 07928  , 9  , 0  
 07930  , 1  , 0  
 07932  , 1  , 0  
 07936  , 1  , 0  
 07940  , 4  , 0  
 07945  , 3  , 0  
 07946  , 0  , 1  
 07950  , 2  , 2  
 07960  , 8  , 1  
 07974  , 4  , 0  
 07977  , 1  , 0  
 07979  , 1  , 0  
 08008  , 0  , 1  
 08015  , 1  , 0  
 08016  , 0  , 1  
 08046  , 0  , 2  
 08050  , 1  , 0  
 08051  , 1  , 0  
 08080  , 1  , 0  
 08094  , 1  , 0  
 08203  , 0  , 1  
 08501  , 0  , 1  
 08512  , 1  , 0  
 08520  , 2  , 3  
 08527  , 2  , 0  
 08535  , 0  , 1  
 08536  , 2  , 0  
 08540  , 5  , 3  
 08550  , 6  , 0  
 08551  , 1  , 1  
 08553  , 1  , 0  
 08558  , 1  , 0  
 08629  , 1  , 0  
 08690  , 1  , 0  
 08691  , 0  , 1  
 08701  , 2  , 0  
 08720  , 1  , 0  
 08722  , 1  , 0  
 08724  , 4  , 1  
 08736  , 3  , 0  
 08750  , 1  , 0  
 08753  , 1  , 1  
 08801  , 1  , 0  
 08802  , 1  , 0  
 08805  , 1  , 0  
 08807  , 3  , 0  
 08812  , 2  , 1  
 08816  , 4  , 3  
 08817  , 2  , 1  
 08820  , 6  , 0  
 08822  , 2  , 0  
 08823  , 1  , 0  
 08826  , 1  , 0  
 08827  , 2  , 0  
 08830  , 0  , 1  
 08831  , 2  , 0  
 08833  , 1  , 0  
 08840  , 2  , 1  
 08846  , 1  , 0  
 08848  , 0  , 1  
 08852  , 2  , 0  
 08854  , 3  , 0  
 08857  , 4  , 1  
 08859  , 0  , 2  
 08861  , 1  , 0  
 08863  , 1  , 0  
 08872  , 3  , 0  
 08873  , 1  , 0  
 08879  , 1  , 0  
 08885  , 1  , 0  
 08886  , 0  , 1  
 08902  , 1  , 1  
 10001  , 1  , 4  
 10002  , 6  , 3  
 10003  , 14  , 1  
 10005  , 1  , 0  
 10006  , 4  , 1  
 10007  , 2  , 1  
 10008  , 1  , 0  
 10009  , 16  , 1  
 10010  , 6  , 4  
 10011  , 8  , 7  
 10012  , 4  , 2  
 10013  , 6  , 1  
 10014  , 4  , 1  
 10016  , 18  , 3  
 10017  , 1  , 0  
 10018  , 1  , 0  
 10019  , 9  , 1  
 10021  , 32  , 12  
 10022  , 9  , 4  
 10023  , 20  , 4  
 10024  , 6  , 7  
 10025  , 10  , 9  
 10026  , 4  , 2  
 10027  , 2  , 0  
 10028  , 13  , 8  
 10029  , 5  , 1  
 10030  , 0  , 1  
 10031  , 4  , 1  
 10032  , 10  , 2  
 10033  , 1  , 0  
 10034  , 2  , 1  
 10035  , 1  , 1  
 10036  , 1  , 0  
 10037  , 0  , 2  
 10038  , 5  , 1  
 10039  , 1  , 0  
 10040  , 3  , 0  
 10044  , 2  , 0  
 10128  , 19  , 3  
 10280  , 5  , 2  
 10282  , 1  , 0  
 10301  , 11  , 5  
 10302  , 4  , 2  
 10303  , 3  , 1  
 10304  , 5  , 5  
 10305  , 7  , 4  
 10306  , 22  , 7  
 10307  , 9  , 1  
 10308  , 14  , 4  
 10309  , 8  , 2  
 10310  , 7  , 0  
 10312  , 28  , 8  
 10314  , 24  , 12  
 10451  , 3  , 1  
 10452  , 10  , 0  
 10453  , 1  , 1  
 10454  , 0  , 1  
 10455  , 3  , 1  
 10456  , 2  , 2  
 10458  , 3  , 4  
 10460  , 1  , 1  
 10461  , 3  , 3  
 10462  , 5  , 2  
